地区,品牌,数量
上海 ,花卿士,11
上海 ,苏发,11
上海 ,若腾,11
上海 ,英西达（kingcyta）,43
上海 ,英顿inton,11
上海 ,苹果,11
上海 ,苹果（apple）,1765
上海 ,荣京,11
上海 ,荣耀,66
上海 ,莫凡,11
上海 ,莫凡(mofi),11
上海 ,莫哥斯,30
上海 ,莱琥,11
上海 ,莱蒽斯,10
上海 ,菱竹,10
上海 ,菲洛林,11
上海 ,萌惺尚,11
上海 ,萧萧布落,55
上海 ,蒙奇奇,10
上海 ,蓝牧,11
上海 ,蓥峰,11
上海 ,蕊芬妮,20
上海 ,虎图腾,22
上海 ,蝶尊,44
上海 ,袋宝贝（daibaobei）,307
上海 ,西士,11
上海 ,览日鸟,10
上海 ,诗师美,22
上海 ,诺基亚nokia,11
上海 ,诺基亚（nokia）,87
上海 ,诺弗珂nofukcn,10
上海 ,诺朵（nuoduo）,38
上海 ,豆乐奇（douleqi）,11
上海 ,贝维伦,22
上海 ,贝贝工匠（babecarpenter）,11
上海 ,质亮,11
上海 ,赛兹,11
上海 ,赛铧睿,22
上海 ,赞璐桐zanlutong,11
上海 ,赞璐桐（zanlutong）,44
上海 ,赫苛阁,22
上海 ,超科（chaoke）,76
上海 ,超萌,21
上海 ,路探,11
上海 ,车旅魔方,11
上海 ,车洛绎,11
上海 ,轩丽,22
上海 ,轩丽（xuanli）,11
上海 ,轩坤派,22
上海 ,轩澳,11
上海 ,辅安,11
上海 ,辉宏达,63
上海 ,辉航huihang,10
上海 ,辉航睿盛huihangruisheng,11
上海 ,迈煜（maiyu）,11
上海 ,迈琪数码,44
上海 ,迈琪数码（maqistar）,11
上海 ,迎春花,10
上海 ,适用于联想手机电池,11
上海 ,通用,10
上海 ,逸致,44
上海 ,遇特利（yuteli）,11
上海 ,道胜,20
上海 ,那卡,10
上海 ,邦克仕/bbenks,11
上海 ,邦华（boway）,11
上海 ,郎太轩琦langtaixuanqi,215
上海 ,酷丑（kucu）（kucu）,11
上海 ,酷力途（kulitu）,11
上海 ,酷奇,11
上海 ,酷思麦,20
上海 ,酷斯基,22
上海 ,酷派s6/9190l/9190l-coo电信版,11
上海 ,酷派（coolpad）,31
上海 ,酷玩,11
上海 ,金响,11
上海 ,金柚,11
上海 ,金立,64
上海 ,金立（gionee）,32
上海 ,金艺美（jinyimei）,22
上海 ,鑫片,22
上海 ,铠私乐（kmuysl）,11
上海 ,铧莱速,10
上海 ,长虹,33
上海 ,长虹changhong,32
上海 ,长虹（changhong）,53
上海 ,闪森（shansen）,11
上海 ,闪猎,97
