年龄段,手机型号,销量
[18~24],朵诺,77
[18~24],turbosun,77
[18~24],腾彩tengcai,77
[30~34],度隽,77
[18~24],x-doria,77
[18~24],启印（qiyin）,77
[18~24],隆茂,77
18岁以下,conwhd,77
[18~24],米囹,77
[18~24],寻梦人,77
[30~34],玄皇xuanhuang,77
[25~29],飞利浦(philips),77
[18~24],亦芙,77
[18~24],麦麦米,77
[25~29],apobico,77
[30~34],蝶尊,77
[30~34],lzl,77
[18~24],可尚古,77
[18~24],捷速德jiesude,77
[18~24],mlnew,77
[40~49],翌玉庭,77
[25~29],广耐,77
[35~39],索猫,76
[18~24],鼎坚,76
[18~24],品艺,76
[18~24],佐欧雅zuoouya,76
[18~24],伟峰（weifeng）,76
[25~29],lg,76
[18~24],雷瑞科,76
[18~24],zhaoxin,76
[25~29],vieruodis,76
[18~24],思帝诺（sidinuo）,76
[30~34],旺驰wangchi,76
[18~24],nfdje,76
[18~24],探优者,76
[18~24],lzn,76
[18~24],新亚鱼,76
[25~29],闪觅,76
[30~34],膜思维,76
[18~24],杰菈,76
[18~24],10670390,76
[18~24],浩尊,76
[25~29],柳斯舍（liusishe）,76
18岁以下,魅族,76
[18~24],美帮汇,76
[18~24],游猎者,76
[18~24],登顶,76
[18~24],艾么么,76
[18~24],竹仔鱼,76
[30~34],辉宏达,76
[18~24],curry,75
[18~24],豆乐奇（douleqi）,75
[18~24],emeda,75
[30~34],辉航huihang,75
[40~49],索尼,75
[18~24],品胜,75
[18~24],默然,75
[30~34],索爱（soaiy）,75
18岁以下,雀米,75
[25~29],金响,75
[18~24],vbna,75
18岁以下,雪奈儿（xuenair）,75
18岁以下,施卡洛,75
[30~34],索爱,75
[18~24],明枫（mingfeng）,75
[25~29],fale,75
[18~24],宝得利,75
[18~24],soumiety,75
[25~29],鑫片,75
[18~24],星奈,75
[35~39],trendsetter,75
[25~29],摩托罗拉,74
[25~29],索弘,74
50岁以上,索尼,74
[35~39],索尼,74
[40~49],魔风者,74
[18~24],优加,74
[25~29],知茗,74
[18~24],领妙,74
[30~34],长虹changhong,74
[25~29],魅族,74
[30~34],美图,74
[30~34],紊婳轩,74
50岁以上,汉牌,74
[18~24],tucuxi,74
[25~29],奥多金,74
[18~24],yby,73
50岁以上,丽人族,73
50岁以上,诺基亚（nokia）,73
[18~24],迪士尼（disney）,73
18岁以下,今首为,73
50岁以上,魅族（meizu）,73
[25~29],乐诺lenuo,73
[18~24],极立耐,73
[18~24],狂侠（kuangxia）,73
[40~49],360,73
18岁以下,机诺基,72
[18~24],诺基亚,72
[18~24],维恩克,72
[30~34],摩古,72
[40~49],kojom,72
[18~24],兰眉,72
[18~24],冠悦guanyue,72
[18~24],喜思黎（xishili）,72
18岁以下,努比亚（nubia）,72
50岁以上,isoojo,72
[35~39],丽人族,72
[25~29],灿仕达（canshida）,72
[18~24],金柏利,72
18岁以下,海天（haitian）,72
[18~24],浅米qianmi,72
[18~24],lcsoa,72
[18~24],insta360,71
[18~24],arsmundi,71
[40~49],施卡洛,71
[18~24],朗客,71
18岁以下,mcwl,71
[18~24],久宇,71
[18~24],艾古（aigu）,71
[40~49],丽人族,71
[18~24],锤子（smartisan）,71
[18~24],乐接lejie,70
[30~34],奇声qisheng,70
50岁以上,其它,70
[25~29],一加,70
[18~24],怡薏丝,70
[25~29],蕊芬妮,70
[18~24],瓦力（valea）,69
[40~49],doloise,69
[18~24],payoff,69
[25~29],mach,66
[25~29],吉之光,66
[18~24],漫飞flm,66
[18~24],益君健,66
[18~24],臻冠,66
[25~29],冉易（ranyi）,66
[18~24],盛马,66
[30~34],努比亚（nubia）,66
[18~24],金柚,66
[18~24],艾帛利（aiboully）,66
[25~29],从芊,66
[18~24],蒙奇奇（monqiqi）,66
[18~24],晨楊时光（chenyangshiguan,66
[25~29],万姆,66
[18~24],曼筠,66
[18~24],coveridol,66
[18~24],有朋（youpeng）,66
[30~34],戴为（derrwerr）,66
[18~24],朔能sorlnern,66
18岁以下,缤唐,66
[25~29],思帝诺（sidinuo）,66
[30~34],派卡仕（pecas）,66
[18~24],艾电尼,66
[18~24],yemeke,66
[40~49],美跃（meiyue）,66
[30~34],尚路,66
[25~29],海尔haier,66
[30~34],宿巢,66
[30~34],艾斯盾,66
18岁以下,联伸锦,66
[18~24],奥古者（aoguzhe）,66
[18~24],妙之锦,66
[25~29],赛铧睿,66
[25~29],顾致,66
[18~24],霂咔,66
[30~34],赞璐桐（zanlutong）,66
[18~24],宝呈宝,66
[18~24],602359,66
[18~24],迈豆,66
[25~29],卡其鹿,66
[30~34],cottee,66
[18~24],卓慕薇,66
[18~24],lism,65
[18~24],萨蜜拉（samila）,65
[25~29],爵浪,65
[18~24],蓝米仕,65
[25~29],特七,65
50岁以上,索猫,65
[18~24],-,65
[18~24],10670411,65
[18~24],轩坤派,65
[18~24],瑞视达,65
[18~24],昂悦,65
[25~29],卡泽威kazewei,65
[18~24],迈诗蒙,65
[18~24],摩诺斯,65
[18~24],畅尼,65
[25~29],利方琪lifangqi,65
[40~49],努比亚,65
[40~49],萧萧布落,65
[30~34],binyeae,65
[18~24],想之购,65
[25~29],苹果,65
[25~29],tensam,65
[35~39],联想（lenovo）,65
[18~24],尤柯宝,65
[18~24],久洁（jojell）,65
[18~24],乐丰,65
[25~29],kowell,65
[18~24],索云（suoyun）,65
[18~24],威骆（weiluo）,65
[18~24],优菡舍,65
[30~34],奥多金,65
[18~24],圣力欧（sxleou）,65
[25~29],柏奈儿,65
[18~24],古芬,65
[25~29],逆翔,64
18岁以下,恋品惠,64
18岁以下,纽曼（newman）,64
18岁以下,萧萧布落,64
[40~49],索爱（soaiy）,64
18岁以下,金立,64
[18~24],atickbase,64
[18~24],dh,64
[18~24],icon,64
[18~24],rearth,64
[18~24],上锐屏宝,64
[18~24],傲凯,64
[18~24],北府,64
[18~24],卡伦顿（karenburtonkb）,64
[18~24],品牌,64
[18~24],夏新amoi,64
[18~24],宝呈,64
[18~24],序歌（xuge）,64
[18~24],易百年（ezlove）,64
[18~24],泰维（tavt）,64
[18~24],纳丽雅（naliya）,64
[18~24],诺希（nohon）,64
[18~24],锤子,64
[18~24],雨辉yuhui,64
[25~29],威视朗,64
[25~29],斯尔格(hsier),64
[25~29],纽曼（newman）,64
[25~29],轩丽（xuanli）,64
[40~49],索文,63
[30~34],摩托罗拉（motorola）,63
[30~34],施卡洛,63
[18~24],致源,63
[18~24],威健,63
[18~24],闪达（sanrdael）,63
[18~24],简耐,63
[18~24],智米,63
18岁以下,aoro,63
[25~29],纽曼（newsmy）,63
[18~24],联想(lenovo),63
[18~24],图拉图,63
[18~24],米享,63
[30~34],长虹,63
[35~39],倍克贝克,63
[18~24],倍思,63
[18~24],mycoolcat,63
[18~24],佐航（zuohang）,63
50岁以上,卡弗拉,63
[18~24],酷姿（kuzi）,63
[18~24],ivr,63
[18~24],quail,62
[30~34],机诺基,62
[35~39],施卡洛,62
[18~24],wenyaff,62
18岁以下,长虹changhong,62
[18~24],例米,62
[18~24],newyi,62
[40~49],诺基亚（nokia）,62
[25~29],凡盾,62
[18~24],氢哈（qingha）,62
18岁以下,凡盾,62
[18~24],肯技,62
[18~24],轩澳,62
[18~24],carkoci,62
[30~34],伊诺茂（ynuom）,62
[18~24],瓦力,62
[18~24],龙威,62
18岁以下,1,62
[18~24],狄客,61
[18~24],闪盾（shandun）,61
[18~24],山业（sanwasupply）,61
[18~24],曼迪尚mandishang,61
[18~24],机伴,61
[40~49],伊诺茂（ynuom）,61
[25~29],夏腾,61
18岁以下,宅耕zhaigeng,61
[18~24],华为(huawei),61
[18~24],道胜,61
[18~24],光米,61
[18~24],锐玛仕（rimas）,60
[18~24],普美特,60
[18~24],burjuman,60
[18~24],秋洱,60
[18~24],果咖士,60
[35~39],伊诺茂（ynuom）,60
50岁以上,郎太轩琦langtaixuanqi,60
[18~24],技格（jige）,60
[25~29],doloise,60
18岁以下,雷米瑞leimirui,60
18岁以下,lzl,60
[18~24],庚盛,59
[18~24],卡贝伯爵,59
[25~29],一叶兰,59
18岁以下,doloise,58
[18~24],恒茗（hengming）,55
[18~24],美思来登meisilaideng,55
[18~24],御佣,55
[25~29],韩菲琪,55
[25~29],魔风者（mofwo）,55
[40~49],金立,55
[25~29],羽芯,55
[30~34],联伸锦,55
[18~24],米卡杰,55
[30~34],辉航睿盛huihangruisheng,55
[25~29],索爱,55
[30~34],迈琪数码,55
[18~24],第四风,55
18岁以下,索猫,55
[18~24],科弗（kefu）,55
[30~34],tensam,55
[30~34],ttvxo,55
[25~29],熙枫（xifeng）,55
[25~29],潮和,55
[30~34],vieruodis,55
[25~29],沄汧,55
50岁以上,aprilbuy,55
50岁以上,conwhd,55
50岁以上,克雷盾（keleidun）,55
[18~24],狄嘉,55
50岁以上,旺驰wangchi,55
[25~29],斯伲克思（sinikesi）,55
[18~24],爱米森,55
[30~34],魅族,55
[18~24],烟暖鸱,55
[30~34],魔风者（mofwo）,55
[30~34],两两,55
50岁以上,缤唐,55
[18~24],源迦一,55
[25~29],必齐（biqi）,55
[18~24],baidafely,55
[25~29],巢迪,55
[18~24],baogeilily,55
[18~24],cawa,55
[35~39],ckcy,55
[18~24],dsquared2,55
18岁以下,bsn,55
[18~24],蒲阳世家,55
[18~24],gkk,55
[18~24],蓝牧,55
[18~24],imatch,55
[30~34],特七,55
[18~24],puleebumg,55
[18~24],sgpcn,55
[40~49],tcl,55
[25~29],nanum,55
[25~29],mycoolcat,55
[18~24],亭秀tingxiu,55
[35~39],三星,55
[35~39],中兴（zte）,55
[18~24],休谟xiumo,55
[30~34],奇略,55
[30~34],花之家,55
[18~24],佰仕顿（baishidun）,55
[30~34],威视朗,55
[30~34],安佑卓,55
[25~29],赫苛阁,55
[18~24],酷今（cooltoday）,55
[35~39],卡贝罗（kabelluo）,55
[30~34],广耐,55
[18~24],持恒（chiheng）,55
[18~24],坚果,55
[18~24],奇酷360,55
[30~34],曼珠,55
[35~39],奇略,55
[18~24],尊首,55
[18~24],尘客（chenke）,55
[18~24],雲商一號,55
[18~24],雄冠xiongguan,55
[18~24],布好艺丝buhaoyisi,55
[35~39],宿巢,55
[35~39],戴为,55
[18~24],神行之光,54
[35~39],联想,54
[18~24],卡梵顿（cavandon）,54
[35~39],ytqaff,54
[30~34],ckcy,54
[18~24],酷奇,54
[25~29],点缤,54
[18~24],洛捷,54
[30~34],慕致muzhi,54
[18~24],怡居旺,54
[18~24],酷恋,54
[18~24],htc,54
[18~24],洪运德,54
18岁以下,生肖猪,54
[18~24],珍酷,54
[40~49],索猫,54
[25~29],生肖马,54
[18~24],画尚（halsanr）,54
50岁以上,联想,54
[40~49],微启纪,54
[25~29],路探,54
[18~24],菲洛林,54
[18~24],boya,54
[18~24],超旋西,54
[18~24],nubia/努比亚,54
[18~24],格子兮（vup）,54
[18~24],百克力,54
[18~24],赛尔逊,54
[18~24],古美特,54
[18~24],誉品,54
[18~24],添翼,54
[18~24],rnx,54
[25~29],雷蛇（razer）,54
[18~24],善拓者,54
[35~39],aprilbuy,54
[18~24],tumetimes,54
[18~24],vekj,54
[40~49],旺驰wangchi,54
[30~34],云腾（yunteng）,54
[30~34],conquest,54
[18~24],斯宝路（sibaolu）,54
[25~29],洛水,54
[18~24],意达鸟（yidaniao）,54
[18~24],红米,54
[18~24],闪迪（sandisk）,54
[25~29],teaegg,54
[18~24],美瑞克,54
[18~24],初日,54
[18~24],普联（tp-link）,54
[25~29],mcwl,54
[35~39],努比亚（nubia）,54
[18~24],摩睿博,54
[18~24],百诺（benro）,54
[18~24],优勋（youxun）,54
[25~29],spigen,54
[18~24],ynz,53
[18~24],谷一,53
[40~49],aprilbuy,53
[18~24],丹森尼,53
[40~49],闪魔,53
[18~24],海澳德,53
[18~24],未卜,53
[18~24],久益祥,53
50岁以上,至配（zeipei）,53
[18~24],墨迪muedy,53
18岁以下,米邑,53
[25~29],摩托罗拉（motorola）,53
[18~24],爱奇艺,53
[18~24],轰天炮,53
[18~24],爱立佳,53
[18~24],艾利沃,53
[18~24],时光旧巷,53
[18~24],疃里,53
[18~24],倍诺佳（beiluojia）,53
[18~24],倪尓克,53
[18~24],兵宏,53
[35~39],奇际,53
[18~24],凯聪,53
[18~24],别颖,53
[18~24],千寒,53
[18~24],摩斯维（msvii）,53
[18~24],盛豪遇,53
18岁以下,弘鉴,53
[18~24],draco,53
[25~29],班蓝,53
[18~24],毕亚兹(biaze),53
[18~24],毕亚兹,53
[18~24],正念（smrti）,53
[25~29],花卿士,53
[30~34],aoro,53
[30~34],荣耀,53
[18~24],boromind,53
[40~49],争光,53
[25~29],云腾（yunteng）,53
[18~24],绿帅,53
[18~24],诺朵,53
[30~34],英西达（kingcyta）,52
[30~34],生肖猪,52
[18~24],榄茵,52
[18~24],明画,52
[18~24],族兴,52
[35~39],努比亚,52
[18~24],心享吉尔gil,52
[18~24],尚耀,52
[18~24],飞鹅,52
[35~39],至配（zeipei）,52
[18~24],tp-link,52
[18~24],qoovi,52
[18~24],magus,52
[25~29],刺勋（cixun）,52
[18~24],ectic,52
[18~24],d8,52
[40~49],联想（lenovo）,52
18岁以下,摩托罗拉（motorola）,52
18岁以下,辉航huihang,51
[18~24],古尚派,51
18岁以下,微启纪,51
[18~24],通用,51
18岁以下,小米,51
[18~24],鸿狮（hongshi）,51
[18~24],纽道,51
[25~29],msei,51
[18~24],牧热盾muredun,51
[18~24],小犀,51
[40~49],至配（zeipei）,51
[35~39],辉宏达,51
[25~29],海天（haitian）,51
[40~49],三星,51
[18~24],夏普,51
[18~24],lqp,51
[18~24],柏奈儿（bonaier）,51
[18~24],技梵（gievacen）,51
[18~24],乐蔻,51
[18~24],绿巨能（llano）,51
[18~24],奇酷,50
[18~24],zuk,50
[18~24],万利达malata,50
[18~24],禾场,50
18岁以下,诺朵（nuoduo）,50
[18~24],狼人工艺（werewolfcraftwork）,50
[18~24],hjkl,50
[18~24],喜尚喜,50
18岁以下,森麥康,50
[30~34],zuohe佐禾,50
[18~24],壳意,50
50岁以上,ounegd,50
18岁以下,卡冰莉（kabingli）,50
[25~29],卡冰莉（kabingli）,50
[30~34],卡冰莉（kabingli）,49
18岁以下,现代hyundai,49
18岁以下,给力鼠,49
[40~49],灿仕达（canshida）,49
18岁以下,msei,48
[18~24],浩焱,48
[35~39],aoro,44
[18~24],浦记（plextone）,44
[25~29],惠维,44
50岁以上,魔风者,44
[25~29],戴为自营品牌,44
[25~29],戴为（derrwerr）,44
[18~24],招財貓,44
50岁以上,赞璐桐（zanlutong）,44
[18~24],淘锐,44
[30~34],麦路maluu,44
[18~24],爵尼,44
[30~34],apobico,44
[18~24],雷克士,44
[18~24],向益昕（xiangyixin）,44
[18~24],维乐酷（weileku）,44
[18~24],腾龙伴月,44
[25~29],澳元健,44
18岁以下,cottee,44
[30~34],鑫片,44
[25~29],浦利金（pulijin）,44
[40~49],田蟹,44
[18~24],吉娜斯,44
[25~29],赛兹,44
[18~24],真吉吉,44
[35~39],真蓓,44
[18~24],古锐goorain,44
[18~24],闻柏,44
[18~24],挺你（tingni）,44
[25~29],领妙,44
[25~29],虎克,44
[35~39],索爱,44
[18~24],提亚,44
[35~39],缤唐,44
[18~24],提亚(tiya),44
[18~24],尚翔（shangxiang）,44
[30~34],贝贝工匠（babecarpenter）,44
[35~39],斯尔格(hsier),44
[18~24],华为/小米/魅族/努比亚/美图/锤子/联想,44
[18~24],勤凯,44
[18~24],放牧人（grazingman）,44
[18~24],凹凸（aotu）,44
[30~34],家宜佳,44
18岁以下,奥古者aoguzhe,44
[18~24],兼容,44
[35~39],赞璐桐（zanlutong）,44
[18~24],工匠时光,44
[18~24],家康明,44
18岁以下,尚路,44
[18~24],辉航睿盛huihagruisheng,44
[18~24],简浦,44
[18~24],宙比（joby）,44
[35~39],万姆,44
[18~24],互丽阁,44
18岁以下,斯伲克思（sinikesi）,44
[25~29],赛铧睿shr,44
[18~24],戴为原装正品,44
[25~29],lism,44
[18~24],嘉宴（gryan）,44
[25~29],mann,44
[18~24],木清清,44
[18~24],朵维尔米dowerme,44
[25~29],nan,44
[18~24],贝维伦,44
[18~24],东来也,44
[18~24],靖童,44
[18~24],上凯,44
[25~29],绿帅,44
[18~24],多乐由,44
18岁以下,润芳菲,44
18岁以下,玄皇xuanhuang,44
[25~29],vakada,44
[25~29],vetas,44
[18~24],x-it,44
[18~24],果姿（guozi）,44
[25~29],ynz,44
[18~24],type-c,44
[25~29],zku珍酷,44
[18~24],诺亚信（noain）,44
[25~29],闪科杰,44
[18~24],samsung,44
[30~34],博超,44
[18~24],维美易weimeiyi,44
[40~49],中兴（zte）,44
[30~34],华为huawei,44
[18~24],简微娜,44
[18~24],桃花瓣,44
18岁以下,真蓓,44
[30~34],美壳壳,44
[18~24],行狐（xinghu）,44
[18~24],美佰meibai,44
[18~24],lomazoo,44
[18~24],纪客（jeercor）,44
[18~24],kerleei,44
[18~24],拉木各菲,44
[25~29],筱齐,44
[18~24],ifacemall,44
[18~24],拓进,44
18岁以下,羽迪,44
[25~29],卡斯兰,44
18岁以下,翌玉庭,44
[30~34],全颂,44
[40~49],缤唐,44
[18~24],hanatora/花虎,44
[25~29],畅印,44
[25~29],哮天虎（xiaotianhu）,44
[18~24],绿帅lvshuai,44
[30~34],恋品惠,44
[25~29],多靓duoliang,44
[25~29],奇际,44
[30~34],瑜维晟,44
18岁以下,ckcy,44
[18~24],萌唱,44
[18~24],菲诗娜（fanscination）,44
[25~29],寻梦人,44
[18~24],飚爱,44
[18~24],锐视威,44
[25~29],犀牛角（eckomounts）,44
[18~24],莱琥,44
[30~34],电狐,44
[18~24],violin,43
[25~29],神行之光,43
[25~29],博瑞威boriwee,43
[18~24],dwz,43
[30~34],硕普（supple）,43
[18~24],稻草人（mexican）,43
[18~24],圳钻,43
[18~24],瑞吉姆（ruijimu）,43
[18~24],礼姿,43
[18~24],吉莱克（j-like）,43
18岁以下,鑫片,43
[30~34],美赞仕（meizanshi）,43
[18~24],茗芮居,43
[18~24],hiturbo,43
[18~24],翰谷,43
[25~29],燚（upfire）,43
[18~24],摩托罗拉motorola,43
[18~24],千幻魔镜,43
[25~29],艾斯盾,43
[18~24],慕致,43
[18~24],速易邦（suyibang）,43
[30~34],潮和,43
[18~24],华饰,43
[18~24],rigal,43
[35~39],romsion,43
[25~29],懿锦,43
[18~24],杯箸（beizhu）,43
[30~34],柒艺,43
[25~29],闪魔,43
[18~24],铂宿,43
[18~24],拽猫,43
[18~24],格兴,43
[18~24],运达通（yundatong）,43
[30~34],灵烦lingfan,43
[18~24],迈豆（macdot）,43
[18~24],兰嘉丝汀,43
[25~29],莫凡,43
[18~24],耐度（naidu）,43
[18~24],prada,43
[18~24],新之昌,43
[30~34],惠戈尔huigeer,43
[25~29],莱蒽斯,43
[18~24],卡饰社,43
[40~49],索爱,43
[30~34],jdhdl,43
[18~24],米纶斯（milunsi）,43
[25~29],优内特,43
[18~24],悠琪雅youqiya,43
[35~39],仕跟斯,43
[18~24],派劳迪,43
[35~39],乐诺lenuo,43
[18~24],魅迪,43
[18~24],智汇,43
[18~24],21克,43
[25~29],huawei,43
[18~24],亿米阳光,43
[40~49],金艺美（jinyimei）,43
[18~24],ocg,43
[35~39],飞利浦philips,43
[25~29],悦可,43
[18~24],乐得/ledetech,43
[25~29],豆图（doutu）,43
[18~24],fiitvr,43
[18~24],f.l,43
[18~24],熙途,43
[25~29],lzn,43
[18~24],木有火,43
[35~39],度隽,43
[25~29],品胜,43
[18~24],骆尊,43
18岁以下,阿奇猫,43
[18~24],手雕工坊,43
[18~24],缤购（bingou）,43
18岁以下,迈琪数码,43
[25~29],家柏饰corated,43
[18~24],杞瑾,43
[40~49],aoro,43
[35~39],汉牌,43
[18~24],欧因,43
50岁以上,索爱soaiy,43
[35~39],猫妞（maoniu）,43
[25~29],海澳德,43
[35~39],tcl,43
[30~34],waidm,43
50岁以上,apple,43
[18~24],罗技logitech,43
[30~34],长虹（changhong）,43
[18~24],kz,43
[30~34],弘鉴,43
[18~24],yk,43
[18~24],派滋,43
[40~49],美赞仕（meizanshi）,43
[18~24],腾必达（tengbida）,43
[35~39],宅耕zhaigeng,43
[18~24],earldom,43
[30~34],润芳菲,43
[18~24],ixn,42
[18~24],山水,42
[18~24],铂爵（biojuet）,42
[18~24],尊牛互动,42
[35~39],灿仕达（canshida）,42
[18~24],壳当家,42
[18~24],金喜利（jinxili）,42
[18~24],哈吉努,42
[18~24],古锐,42
[18~24],摩古mougol,42
18岁以下,apobico,42
[30~34],小米,42
[25~29],10677838,42
[18~24],凯普世,42
[18~24],冰炎（bingyan）,42
[18~24],斐酷,42
[25~29],conquest,42
[35~39],其它,42
[18~24],易博,42
[30~34],墨迪（muedy）,42
[18~24],乐橙,42
[40~49],1,42
[18~24],豐哲fengzhe,42
[25~29],philips/飞利浦,42
[18~24],三侯,42
[18~24],极米（xgimi）,42
[18~24],林参海,42
[25~29],toncy,42
[18~24],smoves,42
18岁以下,ajiuyu,42
18岁以下,agm,42
[25~29],优加,42
[18~24],moko,42
[18~24],lenovo/联想,42
[30~34],凡盾,42
[18~24],idg,42
[18~24],泰迪珍藏,42
[18~24],派凡（oatsbasf）,42
[30~34],生肖马,42
[40~49],戴为,42
[18~24],apple苹果,42
[18~24],98,42
[18~24],3s,42
[18~24],海语,42
[18~24],苏勒,42
50岁以上,广弓,42
50岁以上,努比亚（nubia）,42
[18~24],狼符,42
50岁以上,tcl,42
[25~29],水草人,42
[30~34],纽曼（newman）,42
[30~34],纽曼（newsmy）,42
[18~24],肯硕（kenshuo）,42
[18~24],科季,42
18岁以下,美壳壳,42
18岁以下,美图,42
[18~24],联诚达（lianchengda）,42
18岁以下,索爱,42
[30~34],msei,42
18岁以下,猫妞（maoniu）,42
18岁以下,tensam,42
[18~24],简星jianxing,42
18岁以下,枳记家,42
18岁以下,懿锦,42
[18~24],简牧,42
18岁以下,度隽,42
[25~29],联想lenovo,42
[25~29],膜思维,42
18岁以下,召召木木（ccmumu）,42
[40~49],辉航huihang,42
[30~34],豆图（doutu）,42
[18~24],闪魔(smartdevil),42
[18~24],微影,42
[18~24],帝景蓝湾,42
[18~24],依斯卡（esk）,41
[18~24],慕臣,41
50岁以上,倍克贝克,41
50岁以上,romsion,41
[18~24],梦族,41
18岁以下,aprilbuy,41
[18~24],冠兴,41
[18~24],慈居家,41
[18~24],邦克仕（benks）,41
[40~49],辉宏达,41
[40~49],索尼（sony）,41
[35~39],广弓,41
[30~34],恬鑫,41
[18~24],默恋,41
[18~24],jbl,41
[25~29],森麥康,41
[18~24],讯迪,41
[18~24],鹤彩,41
18岁以下,仕跟斯,41
[18~24],彼冠（biguan）,41
[35~39],索文,41
[18~24],dumi,41
[18~24],xpay,41
[18~24],蒙奇奇,41
[25~29],纪普,41
[30~34],marmoter,41
[18~24],aikumao,41
[35~39],杰普顿jptecdon,41
[30~34],英顿inton,41
[40~49],jdhdl,41
[25~29],moqi,41
[25~29],陌颜,41
[18~24],欧斯若（oussirro）,41
[18~24],正炫,41
18岁以下,摩古（mougol）,41
[18~24],驰界,41
[18~24],景致,41
[25~29],etuud,41
[25~29],暖芬nuanfen,41
[18~24],福香依（fuxiangyi）,41
[18~24],高尊（gaozun）,41
18岁以下,广弓,41
18岁以下,岙筱,41
[18~24],法耐（fanai）,40
[40~49],奇声qisheng,40
[40~49],天语（k-touch）,40
[18~24],水净园,40
[18~24],紫米,40
18岁以下,纪普,40
[18~24],捷典,40
[18~24],蝶遇,40
[30~34],灿仕达（canshida）,40
[18~24],诗拜,40
[18~24],守机工坊,40
[25~29],ttfamily,40
[18~24],云耀,40
[18~24],月中影,40
[18~24],门萨,40
18岁以下,ttfamily,40
[30~34],柳斯舍（liusishe）,40
[18~24],华为荣耀8x,40
18岁以下,古尚美,40
[18~24],黑莓（blackberry）,40
[18~24],卓思蔓（zi-iuosiman）,40
18岁以下,长虹,40
[18~24],膜灵,40
[30~34],一叶兰,40
50岁以上,灿仕达（canshida）,40
[18~24],belier,40
[18~24],菲科斯,40
[18~24],古尚美（gushangmei）,40
18岁以下,蕊芬妮,40
[18~24],闪魔（smartdevil）,39
18岁以下,迈谷斯（maigusi）,39
[30~34],蕊芬妮,39
[18~24],nexusway,39
[30~34],现代hyundai,39
18岁以下,佳嘉盈,39
18岁以下,yumqua,39
18岁以下,lg,39
[18~24],信吾（xinwu）,39
